ref_organ,ref_organ_part,parent,child,parent_label,child_label
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_ophthalmic_vein_R,UBERON:0011191,FMA:51248,ophthalmic vein,Right superior ophthalmic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_superior_ophthalmic_vein_R,FMA:51248,UBERON:0011191,Right superior ophthalmic vein,ophthalmic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_middle_colic_artery,UBERON:0001196,UBERON:0001182,middle colic artery,superior mesenteric artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_superior_mesenteric_artery,UBERON:0001182,UBERON:0001196,superior mesenteric artery,middle colic artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_mesenteric_vein,UBERON:0001182,UBERON:0035040,superior mesenteric artery,superior rectal artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_superior_rectal_vein,UBERON:0035040,UBERON:0001182,superior rectal artery,superior mesenteric artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_posterior_left_ventricular_branch,FMA:13905,UBERON:0001625,Posterior ventricular branch of circumflex coronary artery,right coronary artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_right_coronary_artery,UBERON:0001625,FMA:13905,right coronary artery,Posterior ventricular branch of circumflex coronary artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_vena_cava_b,FMA:10951,UBERON:0006687,inferior vena cava,median sacral vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_median_sacral_vein,UBERON:0006687,FMA:10951,median sacral vein,inferior vena cava
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_mesenteric_vein,UBERON:0001182,FMA:15395,superior mesenteric artery,sigmoid vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_sigmoid_vein_a,FMA:15395,UBERON:0001182,sigmoid vein,superior mesenteric artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_mesenteric_artery,UBERON:0001183,UBERON:0035180,inferior mesenteric artery,sigmoid artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_sigmoid_artery_a,UBERON:0035180,UBERON:0001183,sigmoid artery,inferior mesenteric artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_right_uterine_artery,FMA:18830,FMA:18897,Right uterine artery,Right uterine vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_right_uterine_vein,FMA:18897,FMA:18830,Right uterine vein,Right uterine artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_ileocolic_artery,UBERON:0035548,UBERON:0001182,ileocolic artery,superior mesenteric artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_superior_mesenteric_artery,UBERON:0001182,UBERON:0035548,superior mesenteric artery,ileocolic artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_splenic_artery,UBERON:0001194,UBERON:0003713,splenic artery,splenic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_splenic_vein,UBERON:0003713,UBERON:0001194,splenic vein,splenic artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_celiac_trunk,FMA:14812,UBERON:0005436,Celiac trunk,common hepatic artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_common_hepatic_artery,UBERON:0005436,FMA:14812,common hepatic artery,Celiac trunk
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_central_retinal_artery_L,FMA:49881,FMA:51885,Left central retinal artery,Left central retinal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_central_retinal_vein_L,FMA:51885,FMA:49881,Left central retinal vein,Left central retinal artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_internal_iliac_vein_R,UBERON:0001317,UBERON:0018252,internal iliac vein,internal pudendal vein
